Date,Close/Last,Volume,Open,High,Low
07/14/2023,$2.16,24375910,$1.56,$2.24,$1.56
07/13/2023,$1.57,18771630,$1.46,$1.80,$1.35
07/12/2023,$1.56,16060270,$1.23,$1.60,$1.19
07/11/2023,$1.16,10425170,$0.8998,$1.21,$0.8755
07/10/2023,$0.8492,9402007,$0.8471,$0.9985,$0.81
07/07/2023,$0.839,9154878,$0.69,$0.88,$0.69
07/06/2023,$0.705,5152586,$0.68,$0.72,$0.621
07/05/2023,$0.6815,6513756,$0.6313,$0.7059,$0.6267
07/03/2023,$0.5947,1720003,$0.5488,$0.6098,$0.5323
06/30/2023,$0.5309,3505454,$0.535,$0.55,$0.51
06/29/2023,$0.5133,10529940,$0.6457,$0.7022,$0.4536
06/28/2023,$0.6999,25158430,$0.48,$0.752,$0.465
06/27/2023,$0.46,13562830,$0.39,$0.52,$0.389
06/26/2023,$0.3813,2570302,$0.40,$0.4293,$0.375
06/23/2023,$0.39,1550364,$0.42,$0.4279,$0.3815
06/22/2023,$0.40,1414831,$0.4301,$0.4301,$0.40
06/21/2023,$0.4301,2650667,$0.479,$0.5252,$0.42
06/20/2023,$0.47,2048524,$0.5391,$0.5488,$0.46
06/16/2023,$0.52,2200673,$0.50,$0.5447,$0.4923
06/15/2023,$0.4877,1127628,$0.48,$0.4999,$0.4704
06/14/2023,$0.4705,1498640,$0.4901,$0.5075,$0.4705
06/13/2023,$0.475,2435644,$0.45,$0.5084,$0.44
06/12/2023,$0.4381,451111,$0.4549,$0.4599,$0.4325
06/09/2023,$0.4395,740733,$0.46,$0.46,$0.439
06/08/2023,$0.453,802281,$0.437,$0.46,$0.43
06/07/2023,$0.425,729017,$0.44,$0.45,$0.425
06/06/2023,$0.44,2492021,$0.475,$0.48,$0.422
06/05/2023,$0.45,1578298,$0.43,$0.485,$0.411
06/02/2023,$0.42,1588400,$0.4273,$0.4497,$0.383
06/01/2023,$0.425,2377614,$0.39,$0.4499,$0.3802
05/31/2023,$0.3815,1997290,$0.42,$0.4288,$0.36
05/30/2023,$0.40,832067,$0.442,$0.442,$0.39
05/26/2023,$0.4189,1358245,$0.42,$0.4449,$0.407
05/25/2023,$0.4095,638994,$0.4306,$0.4397,$0.3988
05/24/2023,$0.435,643884,$0.4511,$0.4511,$0.411
05/23/2023,$0.4455,1197939,$0.46,$0.4699,$0.4242
05/22/2023,$0.45,795020,$0.498,$0.4999,$0.446
05/19/2023,$0.48,865938,$0.49,$0.49,$0.4602
05/18/2023,$0.4698,813486,$0.48,$0.497,$0.4695
05/17/2023,$0.4671,2743318,$0.4978,$0.51,$0.445
05/16/2023,$0.4997,1536982,$0.55,$0.5739,$0.49
05/15/2023,$0.5715,1522294,$0.55,$0.58,$0.53
05/12/2023,$0.5405,597631,$0.537,$0.5449,$0.5306
05/11/2023,$0.528,644972,$0.515,$0.528,$0.494
05/10/2023,$0.515,562049,$0.5151,$0.52,$0.4999
05/09/2023,$0.5025,821245,$0.52,$0.5275,$0.491
05/08/2023,$0.5191,442409,$0.525,$0.53,$0.51
05/05/2023,$0.5262,379418,$0.53,$0.5488,$0.5105
05/04/2023,$0.5199,573720,$0.54,$0.5585,$0.51
05/03/2023,$0.5322,693518,$0.5458,$0.5649,$0.5251
05/02/2023,$0.5501,758278,$0.602,$0.602,$0.5301
05/01/2023,$0.5918,383467,$0.63,$0.63,$0.5829
04/28/2023,$0.6135,533694,$0.61,$0.62,$0.60
04/27/2023,$0.60,713885,$0.58,$0.61,$0.5727
04/26/2023,$0.58,943032,$0.62,$0.6484,$0.5534
04/25/2023,$0.6085,855406,$0.60,$0.62,$0.59
04/24/2023,$0.5724,1056695,$0.63,$0.64,$0.565
04/21/2023,$0.6294,806051,$0.658,$0.66,$0.60
04/20/2023,$0.6548,817592,$0.68,$0.6946,$0.62
04/19/2023,$0.673,993260,$0.7067,$0.71,$0.66
04/18/2023,$0.6991,1213242,$0.75,$0.75,$0.6752
04/17/2023,$0.7382,1661706,$0.672,$0.7399,$0.66
04/14/2023,$0.6402,1474712,$0.6551,$0.6595,$0.636
04/13/2023,$0.6367,4017695,$0.7064,$0.71,$0.6335
04/12/2023,$0.68,687709,$0.75,$0.77,$0.6502
04/11/2023,$0.698,1085331,$0.65,$0.73,$0.64
04/10/2023,$0.6185,467500,$0.62,$0.6457,$0.60
04/06/2023,$0.608,949489,$0.6359,$0.68,$0.5751
04/05/2023,$0.6402,845029,$0.70,$0.7027,$0.63
04/04/2023,$0.68,595782,$0.7776,$0.8099,$0.66
04/03/2023,$0.755,1016910,$0.90,$0.90,$0.74
03/31/2023,$0.8909,515954,$0.93,$0.95,$0.89
03/30/2023,$0.9274,387957,$0.93,$0.9399,$0.885
03/29/2023,$0.8827,1014684,$1.04,$1.04,$0.87
03/28/2023,$1.01,1769108,$0.77,$1.04,$0.7501
03/27/2023,$0.7699,420088,$0.7585,$0.7699,$0.70
03/24/2023,$0.741,301196,$0.70,$0.741,$0.67
03/23/2023,$0.69,458793,$0.7142,$0.73,$0.67
03/22/2023,$0.7056,735892,$0.687,$0.7252,$0.68
03/21/2023,$0.6743,779866,$0.68,$0.6873,$0.6401
03/20/2023,$0.6465,543502,$0.714,$0.7143,$0.6465
03/17/2023,$0.68,1124923,$0.79,$0.8029,$0.68
03/16/2023,$0.78,554919,$0.7946,$0.8291,$0.78
03/15/2023,$0.7702,826848,$0.88,$0.8899,$0.77
03/14/2023,$0.8556,691228,$0.9529,$1.00,$0.8556
03/13/2023,$0.9187,770061,$0.9961,$0.9961,$0.90
03/10/2023,$1.03,1741680,$0.908,$1.04,$0.89
03/09/2023,$0.87,1995502,$1.00,$1.0301,$0.87
03/08/2023,$1.02,456024,$1.05,$1.05,$1.00
03/07/2023,$1.04,627593,$1.12,$1.13,$1.02
03/06/2023,$1.12,255304,$1.16,$1.16,$1.10
03/03/2023,$1.15,320602,$1.19,$1.19,$1.12
03/02/2023,$1.14,308749,$1.17,$1.17,$1.09
03/01/2023,$1.16,725212,$1.13,$1.25,$1.1101
02/28/2023,$1.10,508003,$1.17,$1.17,$1.04
02/27/2023,$1.14,811377,$1.08,$1.2399,$1.08
02/24/2023,$1.06,412193,$1.04,$1.09,$1.03
02/23/2023,$1.07,437111,$1.12,$1.15,$1.04
02/22/2023,$1.09,607251,$1.13,$1.13,$1.06
02/21/2023,$1.10,402115,$1.16,$1.20,$1.10
02/17/2023,$1.15,995659,$1.29,$1.29,$1.12
02/16/2023,$1.22,480187,$1.30,$1.3132,$1.21
02/15/2023,$1.30,396674,$1.41,$1.41,$1.29
02/14/2023,$1.32,411987,$1.36,$1.36,$1.22
02/13/2023,$1.36,609726,$1.45,$1.4728,$1.35
02/10/2023,$1.445,704106,$1.62,$1.6499,$1.43
02/09/2023,$1.605,432264,$1.75,$1.78,$1.60
02/08/2023,$1.755,376605,$1.81,$1.8695,$1.70
02/07/2023,$1.81,484409,$1.63,$1.82,$1.62
02/06/2023,$1.62,272694,$1.60,$1.68,$1.60
02/03/2023,$1.66,482479,$1.60,$1.67,$1.54
02/02/2023,$1.64,737235,$1.51,$1.64,$1.51
02/01/2023,$1.51,533960,$1.57,$1.58,$1.42
01/31/2023,$1.59,158627,$1.59,$1.62,$1.58
01/30/2023,$1.60,186777,$1.64,$1.64,$1.535
01/27/2023,$1.65,525204,$1.70,$1.71,$1.62
01/26/2023,$1.68,221033,$1.74,$1.75,$1.6601
01/25/2023,$1.72,166688,$1.69,$1.73,$1.65
01/24/2023,$1.71,248334,$1.74,$1.7599,$1.68
01/23/2023,$1.69,437089,$1.71,$1.778,$1.65
01/20/2023,$1.72,565410,$1.64,$1.83,$1.61
01/19/2023,$1.63,176092,$1.69,$1.70,$1.60
01/18/2023,$1.68,206624,$1.70,$1.7299,$1.6768
01/17/2023,$1.69,135635,$1.73,$1.79,$1.67
01/13/2023,$1.76,287923,$1.71,$1.79,$1.6716
01/12/2023,$1.71,635390,$1.77,$1.78,$1.55
01/11/2023,$1.80,156334,$1.82,$1.86,$1.76
01/10/2023,$1.82,223829,$1.80,$1.85,$1.68
01/09/2023,$1.82,297718,$1.99,$2.00,$1.79
01/06/2023,$1.99,165763,$2.00,$2.00,$1.92
01/05/2023,$1.96,181457,$2.00,$2.00,$1.9019
01/04/2023,$1.95,236772,$1.98,$1.985,$1.90
01/03/2023,$1.87,269815,$1.89,$2.00,$1.85
